kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.3.sm_86.ptx 300 : 16384 6250656 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 301 : 16384 1212416 0 0 0 0 0 0 0 
test.3.sm_86.ptx 302 : 16384 229376 0 0 0 0 0 0 0 
test.3.sm_86.ptx 303 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 304 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 305 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 306 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 307 : 16384 5178080 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 308 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 309 : 16384 5901664 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 310 : 16384 1212416 0 0 0 0 0 0 0 
test.3.sm_86.ptx 311 : 16384 229376 0 0 0 0 0 0 0 
test.3.sm_86.ptx 312 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 313 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 314 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 315 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 316 : 16384 5114240 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 317 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 318 : 16384 5852288 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 319 : 16384 1196032 0 0 0 0 0 0 0 
test.3.sm_86.ptx 320 : 16384 196608 0 0 0 0 0 0 0 
test.3.sm_86.ptx 321 : 16384 212992 0 0 0 0 0 0 0 
test.3.sm_86.ptx 322 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 323 : 16384 61440 0 0 0 0 0 0 0 
test.3.sm_86.ptx 326 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 327 : 4096 20480 0 0 0 0 0 0 0 
test.3.sm_86.ptx 352 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 353 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 354 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 355 : 4096 28672 0 0 0 0 0 0 0 
test.3.sm_86.ptx 356 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 357 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 358 : 4096 86016 0 0 0 4096 128 0 0 
test.3.sm_86.ptx 361 : 4096 20480 0 0 0 0 0 0 0 
test.2.sm_86.ptx 40 : 65536 3951328 0 0 0 0 0 0 0 
test.2.sm_86.ptx 41 : 65536 851968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 42 : 65536 851968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 43 : 65536 851968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 44 : 65536 851968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 45 : 65536 851968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 46 : 65536 851968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 47 : 65536 851968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 48 : 65536 851968 0 0 0 0 0 0 0 
